type,title,cast,country,rating,listed_in,combination
Movie,godmothered,june squibb  jillian bell  jane curtin,united states,pg,"comedy, family, fantasy","Movie pg comedy, family, fantasy june squibb  jillian bell  jane curtin united states"
Movie,man vs. shark,jeremiah sullivan  dave hoffman,united states,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary jeremiah sullivan  dave hoffman united states"
Movie,mulan,yifei liu  donnie yen  gong li,"united states, canada, hong kong",pg-13,"action-adventure, coming of age, drama","Movie pg-13 action-adventure, coming of age, drama yifei liu  donnie yen  gong li united states, canada, hong kong"
Movie,sky high,kelly preston  lynda carter  michael angarano,united states,pg,"action-adventure, comedy, family","Movie pg action-adventure, comedy, family kelly preston  lynda carter  michael angarano united states"
Movie,the disney holiday singalong,ryan seacrest  andrea bocelli  bts ,united states,tv-g,"family, music, variety","Movie tv-g family, music, variety ryan seacrest  andrea bocelli  bts  united states"
Movie,the nutcracker and the four realms,keira knightley  mackenzie foy  eugenio derbez,united states,pg,"action-adventure, family, fantasy","Movie pg action-adventure, family, fantasy keira knightley  mackenzie foy  eugenio derbez united states"
Movie,"alexander and the terrible, horrible, no good, very bad day",steve carell  jennifer garner  ed oxenbould,united states,pg,"comedy, coming of age, family","Movie pg comedy, coming of age, family steve carell  jennifer garner  ed oxenbould united states"
Movie,black beauty,mackenzie foy  kate winslet  iain glen,united states,tv-pg,"animals & nature, coming of age, drama","Movie tv-pg animals & nature, coming of age, drama mackenzie foy  kate winslet  iain glen united states"
Movie,from our family to yours,unknown,united kingdom,tv-g,"animation, family","Movie tv-g animation, family unknown united kingdom"
Movie,folklore: the long pond studio sessions,taylor swift  aaron dessner  jack antonoff,united states,tv-14,"documentary, music","Movie tv-14 documentary, music taylor swift  aaron dessner  jack antonoff united states"
Movie,planes,dane cook  stacy keach  brad garrett,united states,pg,"action-adventure, animation, comedy","Movie pg action-adventure, animation, comedy dane cook  stacy keach  brad garrett united states"
Movie,planes: fire & rescue,dane cook  ed harris  julie bowen,united states,pg,"action-adventure, animation, comedy","Movie pg action-adventure, animation, comedy dane cook  ed harris  julie bowen united states"
Movie,the real right stuff,unknown,united states,tv-pg,"documentary, historical","Movie tv-pg documentary, historical unknown united states"
Movie,lego star wars holiday special,helen sadler  omar miller  jake green,united states,tv-y7-fv,"action-adventure, animation, comedy","Movie tv-y7-fv action-adventure, animation, comedy helen sadler  omar miller  jake green united states"
Movie,home alone,macaulay culkin  joe pesci  daniel stern,united states,pg,"comedy, family","Movie pg comedy, family macaulay culkin  joe pesci  daniel stern united states"
Movie,home alone 2: lost in new york,macaulay culkin  joe pesci  daniel stern,united states,pg,"comedy, family","Movie pg comedy, family macaulay culkin  joe pesci  daniel stern united states"
Movie,home alone 3,alex d. linz  haviland morris  olek krupa,united states,pg,"comedy, family","Movie pg comedy, family alex d. linz  haviland morris  olek krupa united states"
Movie,petra: secrets of the ancient builders,bert morris,united arab emirates,tv-g,"documentary, historical","Movie tv-g documentary, historical bert morris united arab emirates"
Movie,ultimate viking sword,jay sanders,unknown,tv-pg,"documentary, historical","Movie tv-pg documentary, historical jay sanders unknown"
