type,title,cast,rating,listed_in,combination
TV Show,flying tiger 2,michael miu  bosco wong  kenneth ma,TV-14,action,TV Show TV-14 action michael miu  bosco wong  kenneth ma
TV Show,babybus - dinosaur songs,babybus,ALL,kids,TV Show ALL kids babybus
TV Show,a witch's love,uhm jung-hwa  park seo-joon,13+,"comedy, romance","TV Show 13+ comedy, romance uhm jung-hwa  park seo-joon"
TV Show,"""the paramedic angel""",nate reidnauer  nikki hrichak  nina randazzo,ALL,drama,TV Show ALL drama nate reidnauer  nikki hrichak  nina randazzo
TV Show,the romance of tiger and rose,rosy zhao  ryan ding  zhou zi xin,13+,"comedy, drama, science fiction","TV Show 13+ comedy, drama, science fiction rosy zhao  ryan ding  zhou zi xin"
TV Show,ryan defrates: secret agent,chris burnett  marieve herington  akai draco,7+,"action, animation, kids","TV Show 7+ action, animation, kids chris burnett  marieve herington  akai draco"
TV Show,hobbykids adventures by pocket.watch: the complete collection,griffin burns  cristina milizia  johnny rose,ALL,"animation, kids","TV Show ALL animation, kids griffin burns  cristina milizia  johnny rose"
TV Show,age of the living dead,simon phillips  eve mauro  nicola posener,16+,"action, science fiction","TV Show 16+ action, science fiction simon phillips  eve mauro  nicola posener"
TV Show,the adventures of joe coodryette,jason pasnikowski  ed hennessy  bernard friedland,7+,"animation, kids","TV Show 7+ animation, kids jason pasnikowski  ed hennessy  bernard friedland"
TV Show,inside sportfishing,michael fowlkes,13+,"documentary, sports","TV Show 13+ documentary, sports michael fowlkes"
TV Show,jamillah & aladdin,wilson radjou-pujalte  blossom campbell  joe vaz,TV-Y7,"action, comedy, kids","TV Show TV-Y7 action, comedy, kids wilson radjou-pujalte  blossom campbell  joe vaz"
TV Show,hook city,leighton bryce jennings  jacobi howard  messiah amaraham,unknown,"action, drama","TV Show unknown action, drama leighton bryce jennings  jacobi howard  messiah amaraham"
TV Show,the scar,anna taratorkina  dmitry burukin  natali starinkevich,18+,drama,TV Show 18+ drama anna taratorkina  dmitry burukin  natali starinkevich
TV Show,the border,james mcgowan  graham abbey  nazneen contractor,16+,"drama, suspense","TV Show 16+ drama, suspense james mcgowan  graham abbey  nazneen contractor"
TV Show,sweet combat,lu han  guan xiaotong,13+,"comedy, drama","TV Show 13+ comedy, drama lu han  guan xiaotong"
TV Show,my pet monster,sunny besen thrasher  stuart stone  jeff mcgibbon,TV-G,"animation, kids","TV Show TV-G animation, kids sunny besen thrasher  stuart stone  jeff mcgibbon"
TV Show,my dad the rock star,joanne vannicola  lawrence bayne  kathy laskey,TV-G,"animation, kids","TV Show TV-G animation, kids joanne vannicola  lawrence bayne  kathy laskey"
TV Show,dough boy,braylon jones  malan b.  emanuel vaneckelen,18+,"drama, romance","TV Show 18+ drama, romance braylon jones  malan b.  emanuel vaneckelen"
