type,title,cast,country,rating,listed_in,combination
TV Show,lost treasures of egypt,rick robles,united kingdom,tv-pg,"docuseries, historical","TV Show tv-pg docuseries, historical rick robles united kingdom"
TV Show,love & vets,mallory kasdan,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family mallory kasdan united states"
TV Show,prairie dog manor,kevin conway,united states,tv-pg,"animals & nature, docuseries, reality","TV Show tv-pg animals & nature, docuseries, reality kevin conway united states"
TV Show,secrets of the zoo: tampa,dr. ray ball  dr. lauren smith  chris massaro,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family dr. ray ball  dr. lauren smith  chris massaro united states"
TV Show,united states of animals,quincy dunn-baker,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family quincy dunn-baker united states"
TV Show,unlikely animal friends,mark keller,united states,tv-g,"animals & nature, docuseries, family","TV Show tv-g animals & nature, docuseries, family mark keller united states"
TV Show,america's funniest home videos,tom bergeron,united states,tv-pg,"comedy, family, fantasy","TV Show tv-pg comedy, family, fantasy tom bergeron united states"
TV Show,tangled: the series,zachary levi  mandy moore  eden espinosa,united states,tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy zachary levi  mandy moore  eden espinosa united states"
TV Show,brain games,neil harris,united states,tv-g,"docuseries, family, game show / competition","TV Show tv-g docuseries, family, game show / competition neil harris united states"
TV Show,disney mickey and the roadster racers - chip 'n' dale's nutty tales (shorts),tress macneille  corey burton  bret iwan,unknown,tv-y,"action-adventure, animation, buddy","TV Show tv-y action-adventure, animation, buddy tress macneille  corey burton  bret iwan unknown"
TV Show,tron uprising,elijah wood  bruce boxleitner  emmanuelle chriqui,united states,tv-y7,"action-adventure, animation, kids","TV Show tv-y7 action-adventure, animation, kids elijah wood  bruce boxleitner  emmanuelle chriqui united states"
TV Show,disney playtime with puppy dog pals (shorts),unknown,unknown,tv-y,"animation, kids","TV Show tv-y animation, kids unknown unknown"
TV Show,paradise islands,michael izqueirdo,unknown,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family michael izqueirdo unknown"
TV Show,tut's treasures: hidden secrets,mark bazeley,united kingdom,tv-pg,"docuseries, historical","TV Show tv-pg docuseries, historical mark bazeley united kingdom"
TV Show,fish hooks,chelsea kane  kyle massey  justin roiland,united states,tv-g,"animation, comedy, coming of age","TV Show tv-g animation, comedy, coming of age chelsea kane  kyle massey  justin roiland united states"
TV Show,sonny with a chance,demi lovato  tiffany thornton  sterling knight,united states,tv-g,"comedy, coming of age, romance","TV Show tv-g comedy, coming of age, romance demi lovato  tiffany thornton  sterling knight united states"
TV Show,be our chef,angela kinsey,unknown,tv-g,"family, game show / competition","TV Show tv-g family, game show / competition angela kinsey unknown"
TV Show,disney i didn't do it,olivia holt  austin north  piper curda,united states,tv-g,"comedy, family","TV Show tv-g comedy, family olivia holt  austin north  piper curda united states"
TV Show,disney insider,unknown,united states,tv-pg,"anthology, docuseries","TV Show tv-pg anthology, docuseries unknown united states"
TV Show,disney vampirina ghoul girls rock! (shorts),isabella crovetti  jordan davis  viviann yee,unknown,tv-y7,"animation, fantasy, kids","TV Show tv-y7 animation, fantasy, kids isabella crovetti  jordan davis  viviann yee unknown"
TV Show,101 dalmatian street,josh brener  michaela dietz  ella kenion,"united kingdom, united states, canada",tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy josh brener  michaela dietz  ella kenion united kingdom, united states, canada"
TV Show,shop class,unknown,unknown,tv-g,"family, game show / competition","TV Show tv-g family, game show / competition unknown unknown"
TV Show,star wars resistance,christopher sean  josh brener  scott lawrence,united states,tv-y7,"action-adventure, animation, kids","TV Show tv-y7 action-adventure, animation, kids christopher sean  josh brener  scott lawrence united states"
TV Show,lost cities with albert lin,dr. albert len,united states,tv-pg,"action-adventure, docuseries, historical","TV Show tv-pg action-adventure, docuseries, historical dr. albert len united states"
TV Show,star wars: the clone wars,tom kane  matt lanter  ashley eckstein,united states,tv-pg,"action-adventure, animation, science fiction","TV Show tv-pg action-adventure, animation, science fiction tom kane  matt lanter  ashley eckstein united states"
TV Show,fairy tale weddings,stephen boss  allison holker,united states,tv-pg,"docuseries, family, lifestyle","TV Show tv-pg docuseries, family, lifestyle stephen boss  allison holker united states"
TV Show,that's so raven,raven   orlando brown  kyle massey,united states,tv-g,"comedy, coming of age, fantasy","TV Show tv-g comedy, coming of age, fantasy raven   orlando brown  kyle massey united states"
TV Show,diary of a future president,tess romero  selenis leyva  charlie bushnell,united states,tv-pg,"comedy, coming of age, family","TV Show tv-pg comedy, coming of age, family tess romero  selenis leyva  charlie bushnell united states"
TV Show,high school musical: the musical: the series: the sing-along,olivia rodrigo  joshua bassett  matt cornett,unknown,tv-pg,"comedy, coming of age, drama","TV Show tv-pg comedy, coming of age, drama olivia rodrigo  joshua bassett  matt cornett unknown"
TV Show,america's national parks,c.t. taylor,united states,tv-14,"animals & nature, docuseries","TV Show tv-14 animals & nature, docuseries c.t. taylor united states"
TV Show,continent 7: antarctica,chris browning,united states,tv-pg,"action-adventure, animals & nature, docuseries","TV Show tv-pg action-adventure, animals & nature, docuseries chris browning united states"
TV Show,disney randy cunningham: 9th grade ninja,ben schwartz  andrew caldwell  tim curry,"united kingdom, united states, ireland",tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy ben schwartz  andrew caldwell  tim curry united kingdom, united states, ireland"
TV Show,muppet babies show and tell (shorts),matt danner  melanie harrison  ben diskin,unknown,tv-y7,"animation, kids","TV Show tv-y7 animation, kids matt danner  melanie harrison  ben diskin unknown"
TV Show,the lodge,sophie simnett  luke newton  thomas doherty,united kingdom,tv-g,"coming of age, drama, musical","TV Show tv-g coming of age, drama, musical sophie simnett  luke newton  thomas doherty united kingdom"
TV Show,wild russia,liam teeling,unknown,tv-pg,"animals & nature, docuseries","TV Show tv-pg animals & nature, docuseries liam teeling unknown"
TV Show,marvel's runaways,rhenzy feliz  lyrica okano  virginia gardner,united states,tv-14,"coming of age, drama, science fiction","TV Show tv-14 coming of age, drama, science fiction rhenzy feliz  lyrica okano  virginia gardner united states"
TV Show,austin & ally,ross lynch  laura marano  raini rodriguez,united states,tv-g,"comedy, coming of age, kids","TV Show tv-g comedy, coming of age, kids ross lynch  laura marano  raini rodriguez united states"
TV Show,billy dilley's super-duper subterranean summer,aaron springer  catherine wayne  tom kenny,united states,tv-y7,"animation, comedy, fantasy","TV Show tv-y7 animation, comedy, fantasy aaron springer  catherine wayne  tom kenny united states"
TV Show,first class chefs: family style,gia ré  matt tebbutt,unknown,tv-y7,"family, game show / competition","TV Show tv-y7 family, game show / competition gia ré  matt tebbutt unknown"
TV Show,one strange rock,will smith,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family will smith united states"
TV Show,out there with jack randall,jack randall,unknown,tv-14,"action-adventure, animals & nature, docuseries","TV Show tv-14 action-adventure, animals & nature, docuseries jack randall unknown"
TV Show,the proud family,tommy davidson  paula parker  jo payton,united states,tv-g,"animation, comedy, coming of age","TV Show tv-g animation, comedy, coming of age tommy davidson  paula parker  jo payton united states"
TV Show,the super hero squad,grey delisle  steve blum  mikey kelly,united states,tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy grey delisle  steve blum  mikey kelly united states"
TV Show,year million,laurence fishburne,united states,tv-pg,"docuseries, science fiction","TV Show tv-pg docuseries, science fiction laurence fishburne united states"
TV Show,pick of the litter,unknown,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family unknown united states"
TV Show,one day at disney (shorts),unknown,unknown,tv-pg,"anthology, docuseries, family","TV Show tv-pg anthology, docuseries, family unknown unknown"
TV Show,disney the lion guard,max charles  diamond white  dusan brown,united states,tv-y,"action-adventure, animation, comedy","TV Show tv-y action-adventure, animation, comedy max charles  diamond white  dusan brown united states"
TV Show,disney star vs. the forces of evil,eden sher  adam mcarthur,united states,tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy eden sher  adam mcarthur united states"
TV Show,henry hugglemonster,lara miller  tom kenny  chiara zanni,"ireland, united kingdom, united states, south korea, canada",tv-y,"animation, fantasy, kids","TV Show tv-y animation, fantasy, kids lara miller  tom kenny  chiara zanni ireland, united kingdom, united states, south korea, canada"
TV Show,miles from tomorrowland,olivia munn  cullen mccarthy  fiona bishop,unknown,tv-y,"action-adventure, animation, kids","TV Show tv-y action-adventure, animation, kids olivia munn  cullen mccarthy  fiona bishop unknown"
TV Show,sheriff callie's wild west,mandy moore  lucas grabeel,"united states, south korea, france",tv-y,"animation, kids, western","TV Show tv-y animation, kids, western mandy moore  lucas grabeel united states, south korea, france"
TV Show,supercar megabuild,dom joly,united states,tv-pg,"buddy, docuseries, lifestyle","TV Show tv-pg buddy, docuseries, lifestyle dom joly united states"
TV Show,mickey mouse roadster racers,bret iwan  russi taylor  bill farmer,unknown,tv-y,"animation, kids, sports","TV Show tv-y animation, kids, sports bret iwan  russi taylor  bill farmer unknown"
TV Show,andi mack,peyton lee  joshua rush  sofia wylie,united states,tv-g,"comedy, coming of age, drama","TV Show tv-g comedy, coming of age, drama peyton lee  joshua rush  sofia wylie united states"
TV Show,best friends whenever,lauren taylor  shelby bender  gus kamp,united states,tv-g,"buddy, comedy, coming of age","TV Show tv-g buddy, comedy, coming of age lauren taylor  shelby bender  gus kamp united states"
TV Show,big city greens (shorts),unknown,unknown,tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy unknown unknown"
TV Show,big hero 6 the series (shorts),unknown,unknown,tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy unknown unknown"
TV Show,bonkers,charlie adler  corey burton  jesse corti,"united states, hong kong, south korea, france, canada, china, united kingdom, australia, japan, taiwan, philippines",tv-g,"animation, comedy, kids","TV Show tv-g animation, comedy, kids charlie adler  corey burton  jesse corti united states, hong kong, south korea, france, canada, china, united kingdom, australia, japan, taiwan, philippines"
TV Show,boy meets world,ben savage  william daniels  betsy randle,united states,tv-pg,"comedy, coming of age, family","TV Show tv-pg comedy, coming of age, family ben savage  william daniels  betsy randle united states"
TV Show,bug juice: my adventures at camp,unknown,united states,tv-g,"coming of age, docuseries, family","TV Show tv-g coming of age, docuseries, family unknown united states"
TV Show,chip 'n dale's rescue rangers,corey burton  peter cullen  jim cummings,"united states, taiwan, south korea, china, japan, united kingdom",tv-g,"action-adventure, animation, comedy","TV Show tv-g action-adventure, animation, comedy corey burton  peter cullen  jim cummings united states, taiwan, south korea, china, japan, united kingdom"
TV Show,coop & cami ask the world (shorts),unknown,unknown,tv-g,"comedy, family, game show / competition","TV Show tv-g comedy, family, game show / competition unknown unknown"
TV Show,crash & bernstein,cole jensen  tim lagasse  landry bender,united states,tv-y7,"comedy, fantasy, kids","TV Show tv-y7 comedy, fantasy, kids cole jensen  tim lagasse  landry bender united states"
TV Show,darkwing duck,jim cummings  christine cavanaugh  terry mcgovern,united states,tv-y7,"action-adventure, animation, kids","TV Show tv-y7 action-adventure, animation, kids jim cummings  christine cavanaugh  terry mcgovern united states"
TV Show,disney bizaardvark,madison hu  olivia rodrigo  jake paul,united states,tv-pg,"buddy, comedy, family","TV Show tv-pg buddy, comedy, family madison hu  olivia rodrigo  jake paul united states"
TV Show,disney descendants wicked world (shorts),unknown,united states,tv-g,"animation, coming of age, fantasy","TV Show tv-g animation, coming of age, fantasy unknown united states"
TV Show,disney ducktales (shorts),unknown,unknown,tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy unknown unknown"
TV Show,disney evermoor,naomi sequeira  jordan loughran  belinda stewart-wilson,unknown,tv-pg,series,TV Show tv-pg series naomi sequeira  jordan loughran  belinda stewart-wilson unknown
TV Show,disney family sundays,unknown,united states,tv-g,"anthology, family, lifestyle","TV Show tv-g anthology, family, lifestyle unknown united states"
TV Show,disney fast layne,sophie pollono  sofia rosinsky  brandon rossel,united states,tv-g,"action-adventure, animation, comedy","TV Show tv-g action-adventure, animation, comedy sophie pollono  sofia rosinsky  brandon rossel united states"
TV Show,disney gravity falls,kristen schaal  jason morgan  alex hirsch,united states,tv-y7,"action-adventure, animation, comedy","TV Show tv-y7 action-adventure, animation, comedy kristen schaal  jason morgan  alex hirsch united states"
TV Show,disney gravity falls (shorts),unknown,unknown,tv-g,"animation, anthology, comedy","TV Show tv-g animation, anthology, comedy unknown unknown"
TV Show,disney jake and the never land pirates,madison pettis  colin ford  jonathan heit,united states,tv-y,"action-adventure, animation, fantasy","TV Show tv-y action-adventure, animation, fantasy madison pettis  colin ford  jonathan heit united states"
TV Show,disney jonas,kevin jonas  joe jonas  nick jonas,united states,tv-g,"comedy, family, kids","TV Show tv-g comedy, family, kids kevin jonas  joe jonas  nick jonas united states"
TV Show,disney junior music nursery rhymes,unknown,unknown,tv-y,"animation, kids, musical","TV Show tv-y animation, kids, musical unknown unknown"
